Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters values,Accuracy,TPR,FPR,Precision,AUC ROC,AUC PR,Hyper-Parameters Evaluation Time (min),Training Time (min),Inference Time for 1000 Instances (sec)
bank,InceptionV3,0,"[9, 32, 'Adam', 0.00175]",0.924,0.924,0.003254,0.924,0.919393,0.917352,109.45,7.206,4.324
bank,InceptionV3,1,"[15, 128, 'Adam', 0.00177]",0.925,0.925,0.056382,0.925,0.917352,0.912947,110.43,8.742,5.422
bank,InceptionV3,2,"[9, 96, 'Adam', 0.00172]",0.924,0.924,0.032783,0.924,0.893726,0.842863,120.86,6.895,4.758
bank,InceptionV3,3,"[18, 160, 'Adam', 0.00177]",0.925,0.925,0.026396,0.925,0.892543,0.811967,114.56,8.643,5.732
bank,InceptionV3,4,"[9, 64, 'Adam', 0.00138]",0.926,0.926,0.012977,0.926,0.902816,0.849545,121.47,8.219,4.556
cardiotocography-10clases,InceptionV3,0,"[15, 32, 'Adam', 0.00076]",0.834,0.834,0.127538,0.834,0.832983,0.818751,65.43,5.38,5.874
cardiotocography-10clases,InceptionV3,1,"[15, 32, 'Adam', 0.00076]",0.826,0.826,0.103792,0.826,0.820237,0.804759,57.53,6.42,6.637
cardiotocography-10clases,InceptionV3,2,"[12, 96, 'Adam', 0.00039]",0.952,0.952,0.004739,0.952,0.932577,0.830558,57.21,5.36,5.369
cardiotocography-10clases,InceptionV3,3,"[15, 64, 'Adam', 0.00049]",0.832,0.832,0.101375,0.832,0.827483,0.803727,60.32,4.78,6.743
cardiotocography-10clases,InceptionV3,4,"[18, 64, 'Adam', 0.00073]",0.846,0.846,0.124297,0.846,0.832309,0.830272,56.78,4.32,6.648
cardiotocography-3clases,InceptionV3,0,"[18, 32, 'Adam', 0.00161]",0.902,0.907,0.003185,0.907,0.875984,0.875422,54.43,4.11,7.625
cardiotocography-3clases,InceptionV3,1,"[18, 64, 'Adam', 0.00097]",0.901,0.899,0.000117,0.899,0.868496,0.866409,56.89,5.62,7.482
cardiotocography-3clases,InceptionV3,2,"[12, 64, 'Adam', 0.00095]",0.909,0.912,0.036276,0.912,0.890521,0.890143,67.32,3.87,5.789
cardiotocography-3clases,InceptionV3,3,"[21, 96, 'Adam', 0.00134]",0.897,0.9,0.037234,0.9,0.897493,0.894537,51.35,4.21,6.721
cardiotocography-3clases,InceptionV3,4,"[21, 96, 'Adam', 0.00192]",0.869,0.876,0.107439,0.876,0.872495,0.870478,46.89,5.78,7.098
image-segmentation,InceptionV3,0,"[15, 32, 'Adam', 0.00157]",0.761,0.761,0.201034,0.761,0.760238,0.760194,70.32,5.63,5.32
image-segmentation,InceptionV3,1,"[15, 32, 'Adam', 0.00076]",0.765,0.765,0.212854,0.765,0.763926,0.762438,68.68,4.57,6.38
image-segmentation,InceptionV3,2,"[9, 32, 'Adam', 0.00057]",0.765,0.765,0.163928,0.765,0.763472,0.756973,64.23,4.14,5.73
image-segmentation,InceptionV3,3,"[18, 96, 'Adam', 0.0011]",0.774,0.774,0.208483,0.774,0.772289,0.730545,65.78,3.07,4.89
image-segmentation,InceptionV3,4,"[21, 32, 'Adam', 0.00043]",0.768,0.768,0.205294,0.768,0.749846,0.739381,60.42,4.27,5.16
mfeat-karhunen,InceptionV3,0,"[9, 32, 'Adam', 0.00056]",0.793,0.793,0.201748,0.793,0.789158,0.788258,62.43,3.12,6.74
mfeat-karhunen,InceptionV3,1,"[12, 32, 'Adam', 0.00033]",0.796,0.796,0.194837,0.796,0.789384,0.783618,59.68,3.57,7.45
mfeat-karhunen,InceptionV3,2,"[21, 96, 'Adam', 0.00057]",0.796,0.796,0.145934,0.796,0.782851,0.781652,60.53,4.19,7.97
mfeat-karhunen,InceptionV3,3,"[21, 32, 'Adam', 0.00055]",0.801,0.801,0.184839,0.801,0.791267,0.774924,58.94,3.26,7.32
mfeat-karhunen,InceptionV3,4,"[12, 64, 'Adam', 0.00058]",0.796,0.796,0.201473,0.796,0.78185,0.759583,60.84,4.05,9.58
molec-biol-splice,InceptionV3,0,"[12, 64, 'Adam', 0.0011]",0.932,0.932,0.014274,0.932,0.930274,0.927483,91.32,6.83,11.457
molec-biol-splice,InceptionV3,1,"[18, 128, 'Adam', 0.00108]",0.922,0.922,0.013845,0.922,0.921047,0.920372,88.42,5.27,10.852
molec-biol-splice,InceptionV3,2,"[12, 64, 'Adam', 0.00145]",0.924,0.924,0.049483,0.924,0.922834,0.917593,90.34,4.85,13.671
molec-biol-splice,InceptionV3,3,"[12, 96, 'Adam', 0.0018]",0.923,0.923,0.013746,0.923,0.920891,0.920328,91.86,4.86,12.546
molec-biol-splice,InceptionV3,4,"[18, 96, 'Adam', 0.00167]",0.919,0.919,0.020473,0.919,0.916832,0.907384,88.74,6.58,13.758
mushroom,InceptionV3,0,"[15, 64, 'Adam', 0.00172]",0.876,0.876,0.103984,0.876,0.873956,0.872474,117.64,10.23,5.32
mushroom,InceptionV3,1,"[12, 96, 'Adam', 0.00177]",0.872,0.872,0.124936,0.872,0.870499,0.870138,123.53,9.36,6.46
mushroom,InceptionV3,2,"[15, 64, 'Adam', 0.00069]",0.873,0.873,0.21487,0.873,0.870135,0.869395,126.82,8.83,5.67
mushroom,InceptionV3,3,"[12, 128, 'Adam', 0.00068]",0.878,0.878,0.121943,0.878,0.869483,0.865831,116.78,7.9,6.42
mushroom,InceptionV3,4,"[15, 64, 'Adam', 0.00024]",0.875,0.875,0.100394,0.875,0.874392,0.871363,118.95,9.42,5.841
oocytes_merluccius_nucleus_4d,InceptionV3,0,"[9, 32, 'Adam', 0.00175]",0.869,0.869,0.120173,0.869,0.868362,0.864765,89.43,6.35,9.32
oocytes_merluccius_nucleus_4d,InceptionV3,1,"[15, 128, 'Adam', 0.00184]",0.871,0.871,0.110475,0.871,0.870473,0.865274,89.53,5.86,10.85
oocytes_merluccius_nucleus_4d,InceptionV3,2,"[9, 96, 'Adam', 0.00172]",0.863,0.863,0.130058,0.863,0.861284,0.857382,83.56,5.42,8.64
oocytes_merluccius_nucleus_4d,InceptionV3,3,"[18, 160, 'Adam', 0.00177]",0.862,0.862,0.101483,0.862,0.858363,0.840185,87.53,6.78,12.46
oocytes_merluccius_nucleus_4d,InceptionV3,4,"[9, 64, 'Adam', 0.00138]",0.862,0.862,0.102478,0.862,0.857542,0.848568,90.57,7.27,11.35
