Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters values,Accuracy,TPR,FPR,Precision,AUC ROC,AUC PR,Hyper-Parameters Evaluation Time (min),Training Time (min),Inference Time for 1000 Instances (sec)
bank,Xception_Dropout,0,"[18, 32, 'Adam', 0.00128]",0.927,0.927,0.002583,0.927,0.883002,0.855502,133.96,7.554,4.272
bank,Xception_Dropout,1,"[15, 32, 'Adam', 0.00157]",0.926,0.926,0.014638,0.926,0.884956,0.857336,123.24,8.215,4.264
bank,Xception_Dropout,2,"[12, 96, 'Adam', 0.00172]",0.927,0.927,0.004378,0.927,0.88484,0.847263,111.85,7.693,3.758
bank,Xception_Dropout,3,"[21, 32, 'Adam', 0.00135]",0.928,0.928,0.013743,0.928,0.887028,0.859991,129.85,7.359,5.234
bank,Xception_Dropout,4,"[15, 32, 'Adam', 0.00128]",0.926,0.924,0.049727,0.926,0.885027,0.857777,118.73,7.847,4.537
cardiotocography-10clases,Xception_Dropout,0,"[18, 32, 'Adam', 0.00167]",0.856,0.856,0.042745,0.856,0.844864,0.842573,64.94,5.28,6.334
cardiotocography-10clases,Xception_Dropout,1,"[21, 64, 'Adam', 0.00138]",0.867,0.867,0.136253,0.867,0.836683,0.802734,55.54,4.05,6.258
cardiotocography-10clases,Xception_Dropout,2,"[9, 32, 'Adam', 0.00163]",0.842,0.842,0.026536,0.842,0.837285,0.800227,56.12,5.21,5.958
cardiotocography-10clases,Xception_Dropout,3,"[18, 64, 'Adam', 0.00135]",0.847,0.847,0.143625,0.847,0.832648,0.818124,60.7,3.66,6.312
cardiotocography-10clases,Xception_Dropout,4,"[12, 32, 'Adam', 0.00175]",0.858,8.858,0.036573,8.858,0.853627,0.793627,65.83,4.82,6.037
cardiotocography-3clases,Xception_Dropout,0,"[18, 64, 'Adam', 0.00142]",0.904,0.904,0.026538,0.904,0.792647,0.791626,51.95,3.54,6.478
cardiotocography-3clases,Xception_Dropout,1,"[15, 32, 'Adam', 0.00169]",0.892,0.892,0.047284,0.892,0.878273,0.872463,58.55,3.59,6.995
cardiotocography-3clases,Xception_Dropout,2,"[18, 64, 'Adam', 0.00135]",0.905,0.905,0.038427,0.905,0.887672,0.825737,63.81,3.71,7.324
cardiotocography-3clases,Xception_Dropout,3,"[21, 32, 'Adam', 0.00192]",0.906,0.906,0.076947,0.906,0.829483,0.820583,57.26,4.04,6.056
cardiotocography-3clases,Xception_Dropout,4,"[12, 64, 'Adam', 0.00159]",0.902,0.902,0.01221,0.902,0.719387,0.712485,46.01,2.34,5.962
image-segmentation,Xception_Dropout,0,"[18, 64, 'Adam', 0.00057]",0.798,0.798,0.206428,0.798,0.784382,0.769573,62.43,3.94,6.623
image-segmentation,Xception_Dropout,1,"[18, 32, 'Adam', 0.00036]",0.759,0.759,0.196743,0.759,0.754392,0.746295,64.53,3.74,5.801
image-segmentation,Xception_Dropout,2,"[15, 64, 'Adam', 0.00102]",0.786,0.786,0.180493,0.786,0.782574,0.755927,62.38,2.86,5.714
image-segmentation,Xception_Dropout,3,"[9, 64, 'Adam', 0.00029]",0.804,0.804,0.097372,0.804,0.794628,0.779563,52.33,3.27,5.541
image-segmentation,Xception_Dropout,4,"[12, 64, 'Adam', 0.00064]",0.84,0.84,0.038593,0.84,0.789738,0.780574,58.06,3.78,5.714
mfeat-karhunen,Xception_Dropout,0,"[18, 64, 'Adam', 0.00132]",0.827,0.827,0.168372,0.827,0.804285,0.801593,60.22,2.78,6.75
mfeat-karhunen,Xception_Dropout,1,"[15, 128, 'Adam', 0.00109]",0.829,0.829,0.079374,0.829,0.828462,0.821484,60.11,2.66,8.55
mfeat-karhunen,Xception_Dropout,2,"[9, 128, 'Adam', 0.00038]",0.824,0.824,0.105638,0.824,0.815638,0.8121574,58,4.03,9.094
mfeat-karhunen,Xception_Dropout,3,"[21, 64, 'Adam', 0.00049]",0.819,0.819,0.031753,0.819,0.812563,0.806937,61.45,3.76,6.283
mfeat-karhunen,Xception_Dropout,4,"[18, 96, 'Adam', 0.000232]",0.827,0.827,0.104832,0.827,0.809573,0.804683,61.36,3.25,12.42
molec-biol-splice,Xception_Dropout,0,"[21, 64, 'Adam', 0.00138]",0.923,0.92,0.052867,0.92,0.903728,0.903269,86.84,5.57,10.7
molec-biol-splice,Xception_Dropout,1,"[21, 32, 'Adam', 0.000729]",0.897,0.887,0.107478,0.887,0.829674,0.825749,82.21,4.94,12.836
molec-biol-splice,Xception_Dropout,2,"[15, 32, 'Adam', 0.0017]",0.934,0.934,0.027486,0.934,0.933867,0.921695,91.93,6.28,11.532
molec-biol-splice,Xception_Dropout,3,"[15, 64, 'Adam', 0.000921]",0.941,0.941,0.027533,0.941,0.921865,0.920754,91.71,5.59,14.633
molec-biol-splice,Xception_Dropout,4,"[12, 32, 'Adam', 0.00086]",0.933,0.933,0.019563,0.933,0.930589,0.928656,88.93,4.32,11.176
mushroom,Xception_Dropout,0,"[15, 64, 'Adam', 0.001521]",0.878,0.878,0.085632,0.878,0.865937,0.819643,126.64,8.58,6.824
mushroom,Xception_Dropout,1,"[18, 32, 'Adam', 0.00133]",0.857,0.852,0.091754,0.852,0.849538,0.840785,115.97,9.42,6.285
mushroom,Xception_Dropout,2,"[21, 32, 'Adam', 0.001557]",0.884,0.884,0.105732,0.884,0.877584,0.877369,123.74,10.53,6.428
mushroom,Xception_Dropout,3,"[12, 32, 'Adam', 0.00121]",0.881,0.881,0.102196,0.881,0.879573,0.873965,110.68,7.87,5.826
mushroom,Xception_Dropout,4,"[18, 32, 'Adam', 0.00178]",0.876,0.876,0.048263,0.876,0.874275,0.869503,118.66,9.53,5.269
oocytes_merluccius_nucleus_4d,Xception_Dropout,0,"[21, 64, 'Adam', 0.00182]",0.866,0.866,0.106832,0.866,0.862594,0.860493,90.53,6.31,9.84
oocytes_merluccius_nucleus_4d,Xception_Dropout,1,"[12, 32, 'Adam', 0.001832]",0.847,0.847,0.122743,0.847,0.846359,0.842657,87.25,7.35,9.07
oocytes_merluccius_nucleus_4d,Xception_Dropout,2,"[15, 32, 'Adam', 0.00128]",0.868,0.868,0.091769,0.868,0.856594,0.819645,82.64,5.96,10.46
oocytes_merluccius_nucleus_4d,Xception_Dropout,3,"[12, 32, 'Adam', 0.001524]",0.87,0.87,0.101759,0.87,0.863087,0.806932,88.97,6.83,10.77
oocytes_merluccius_nucleus_4d,Xception_Dropout,4,"[18, 64, 'Adam', 0.00176]",0.876,0.876,0.120583,0.876,0.867594,0.855074,91.42,6.91,11.32
oocytes_merluccius_states_2f,Xception_Dropout,0,"[18, 32, 'Adam', 0.00142]",0.68,0.68,0.206489,0.68,0.673664,0.781549,86.64,6.77,6.934
oocytes_merluccius_states_2f,Xception_Dropout,1,"[21, 64, 'Adam', 0.00175]",0.84,0.84,0.106832,0.84,0.827705,0.823665,87.72,5.73,7.544
oocytes_merluccius_states_2f,Xception_Dropout,2,"[21, 64, 'Adam', 0.00141]",0.776,0.776,0.21865,0.776,0.759805,0.859306,85.86,6.36,7.836
oocytes_merluccius_states_2f,Xception_Dropout,3,"[12, 64, 'Adam', 0.00169]",0.78,0.78,0.120748,0.78,0.772568,0.769245,85.67,6.21,6.483
oocytes_merluccius_states_2f,Xception_Dropout,4,"[18, 32, 'Adam', 0.000147]",0.8,0.8,0.105738,0.8,0.789436,0.787265,87.22,6.79,6.967
ozone,Xception_Dropout,0,"[18, 64, 'Adam', 0.000281]",0.979,0.979,0.006737,0.979,0.977483,0.975947,60.32,6.24,14.42
ozone,Xception_Dropout,1,"[12, 64, 'Adam', 0.00113]",0.986,0.986,0.003728,0.986,0.976947,0.975832,62.17,5.91,13.264
ozone,Xception_Dropout,2,"[9, 64, 'Adam', 0.000365]",0.987,0.987,0.002174,0.987,0.975038,0.974964,57.24,4.73,14.01
ozone,Xception_Dropout,3,"[18, 64, 'Adam', 0.000572]",0.983,0.983,0.005037,0.983,0.982054,0.976835,58.72,4.09,11.161
ozone,Xception_Dropout,4,"[15, 64, 'Adam', 0.0014]",0.982,0.982,0.001058,0.982,0.981685,0.980794,61.24,6.42,10.839
plant-margin,Xception_Dropout,0,"[15, 128, 'Adam', 0.0019]",0.402,0.402,0.385422,0.402,0.375243,0.372332,60.68,5.53,9.73
plant-margin,Xception_Dropout,1,"[9, 96, 'Adam', 0.000425]",0.369,0.369,0.458243,0.369,0.36593,0.354744,58.94,5.93,11.39
plant-margin,Xception_Dropout,2,"[21, 64, 'Adam', 0.00042]",0.37,0.37,0.503937,0.37,0.364929,0.362643,60.32,6.73,9.206
plant-margin,Xception_Dropout,3,"[18, 96, 'Adam', 0.00027]",0.372,0.37,0.523143,0.37,0.357392,0.355948,56.98,4.86,8.374
plant-margin,Xception_Dropout,4,"[21, 32, 'Adam', 0.00136]",0.365,0.365,0.496382,0.365,0.358265,0.357846,57.84,4.02,10.428
plant-shape,Xception_Dropout,0,"[21, 32, 'Adam', 0.000668]",0.372,0.372,0.55974,0.372,0.370537,0.368395,58.42,6.42,12.36
